City{name=Veraval, country=India, district=Gujarat, population=123000}
City{name=Hoshiarpur, country=India, district=Punjab, population=122705}
City{name=Ambala, country=India, district=Haryana, population=122596}
City{name=Sitapur, country=India, district=Uttar Pradesh, population=121842}
City{name=Bhiwani, country=India, district=Haryana, population=121629}
City{name=Muzaffargarh, country=Pakistan, district=Punjab, population=121600}
City{name=Cuddapah, country=India, district=Andhra Pradesh, population=121463}
City{name=Bhimavaram, country=India, district=Andhra Pradesh, population=121314}
City{name=Krishnanagar, country=India, district=West Bengali, population=121110}
City{name=Chandannagar, country=India, district=West Bengali, population=120378}
City{name=Mandya, country=India, district=Karnataka, population=120265}
City{name=Bogra, country=Bangladesh, district=Rajshahi, population=120170}
City{name=Dibrugarh, country=India, district=Assam, population=120127}
City{name=Bukan, country=Iran, district=West Azerbaidzan, population=120020}
City{name=Nandyal, country=India, district=Andhra Pradesh, population=119813}
City{name=Balurghat, country=India, district=West Bengali, population=119796}
City{name=Neyveli, country=India, district=Tamil Nadu, population=118080}
City{name=Sri Jayawardenepura Kotte, country=Sri Lanka, district=Western, population=118000}
City{name=Khanpur, country=Pakistan, district=Punjab, population=117800}
City{name=Fatehpur, country=India, district=Uttar Pradesh, population=117675}
City{name=Sylhet, country=Bangladesh, district=Sylhet, population=117396}
City{name=Masjed-e-Soleyman, country=Iran, district=Khuzestan, population=116883}
City{name=Mahbubnagar, country=India, district=Andhra Pradesh, population=116833}
City{name=Budaun, country=India, district=Uttar Pradesh, population=116695}
City{name=Porbandar, country=India, district=Gujarat, population=116671}
City{name=Navoi, country=Uzbekistan, district=Navoi, population=116300}
City{name=Silchar, country=India, district=Assam, population=115483}
City{name=Saqqez, country=Iran, district=Kordestan, population=115394}
City{name=Berhampore (Baharampur), country=India, district=West Bengali, population=115144}
City{name=Gojra, country=Pakistan, district=Punjab, population=115000}
City{name=Purnea (Purnia), country=India, district=Jharkhand, population=114912}
City{name=Olmalik, country=Uzbekistan, district=Toskent, population=114900}
City{name=Bankura, country=India, district=West Bengali, population=114876}
City{name=Rajapalaiyam, country=India, district=Tamil Nadu, population=114202}
City{name=Titagarh, country=India, district=West Bengali, population=114085}
City{name=Halisahar, country=India, district=West Bengali, population=114028}
City{name=Hathras, country=India, district=Uttar Pradesh, population=113285}
City{name=Bhir (Bid), country=India, district=Maharashtra, population=112434}
City{name=Pallavaram, country=India, district=Tamil Nadu, population=111866}
City{name=Gonbad-e Qabus, country=Iran, district=Mazandaran, population=111253}
City{name=Saveh, country=Iran, district=Qom, population=111245}
City{name=Anand, country=India, district=Gujarat, population=110266}
City{name=Mango, country=India, district=Jharkhand, population=110024}
City{name=Santipur, country=India, district=West Bengali, population=109956}
City{name=Bhind, country=India, district=Madhya Pradesh, population=109755}
City{name=Bahawalnagar, country=Pakistan, district=Punjab, population=109600}
City{name=Rudnyy, country=Kazakstan, district=Qostanay, population=109500}
City{name=Termiz, country=Uzbekistan, district=Surkhondaryo, population=109500}
City{name=Gondiya, country=India, district=Maharashtra, population=109470}
City{name=Tiruvannamalai, country=India, district=Tamil Nadu, population=109196}
City{name=Brahmanbaria, country=Bangladesh, district=Chittagong, population=109032}
City{name=Muridke, country=Pakistan, district=Punjab, population=108600}
City{name=Yeotmal (Yavatmal), country=India, district=Maharashtra, population=108578}
City{name=Kulti-Barakar, country=India, district=West Bengali, population=108518}
City{name=Moga, country=India, district=Punjab, population=108304}
